home|Die günstige Wohnung hat einen Haken|although|Die Wohnung war günstig und lag nahe am Bahnhof. Trotzdem zögerte Mira, nachdem sie die ~Nebenkosten=additional housing costs~ gesehen hatte. Der monatliche Gesamtbetrag war höher als erwartet. Bei einer zweiten Besichtigung fragte sie nach den einzelnen Kosten. Die Vermieterin erklärte alles, ohne Mira zur Entscheidung zu drängen. Mira nahm die Unterlagen mit. Sie wollte erst ihr Budget vergleichen, statt aus Angst vor anderen Interessenten sofort zu ~unterschreiben=sign~.|Mira discovers that a cheap flat has substantial additional costs.|She checks her budget before deciding whether to sign.
home|Ein Protokoll beim Einzug|passive|Beim Einzug entdeckte Sam einen Riss im ~Waschbecken=washbasin~. Er wollte ihn zunächst nicht erwähnen, weil die Übergabe schon lange dauerte. Seine Freundin bestand darauf, ihn gemeinsam anzusehen. Der Schaden wurde fotografiert und im Protokoll beschrieben. Der Vermieter wusste davon noch nichts und bedankte sich für den Hinweis. Als später über die Reparatur gesprochen wurde, hatten beide Seiten dieselbe schriftliche ~Grundlage=basis~.|Sam notices damage during a flat handover.|Recording it gives tenant and landlord a shared account for the repair.
home|Die Pflanzen während des Urlaubs|genitive|Während des Urlaubs sollte Jonas die Pflanzen seiner Nachbarin ~gießen=water~. Auf ihrem Zettel stand nur „regelmäßig“. Er war unsicher, weil die Töpfe sehr unterschiedlich waren. Statt überall gleich viel Wasser zu geben, fragte er per Nachricht nach. Die Nachbarin schickte genauere Hinweise. Beim nächsten Urlaub beschriftete sie die Töpfe. Jonas übernahm die Aufgabe wieder, diesmal ohne jeden Tag raten zu ~müssen=have to~.|Vague watering instructions leave Jonas uncertain.|Clearer instructions and labelled pots improve the next arrangement.
home|Ein Zimmer wird frei|relative|In unserer Wohngemeinschaft wurde ein Zimmer frei. Die Person, die einzog, sollte nicht einfach dieselben Gewohnheiten wie wir haben. Uns war wichtiger, über Unterschiede sprechen zu können. Beim Kennenlernen erklärte Lea, dass sie nachts arbeitet und tagsüber ~Ruhe=quiet~ braucht. Wir besprachen konkrete Zeiten für Besuch und Putzen. Lea zog ein. Nach einem Monat überprüften wir gemeinsam, ob die Vereinbarungen im Alltag ~funktionierten=worked~.|A shared flat discusses habits with a prospective housemate who works nights.|They agree on practical arrangements and review them after a month.
home|Der Schimmel hinter dem Schrank|sequence|Beim Umstellen eines Schranks entdeckte Deniz einen dunklen Fleck an der ~Wand=wall~. Er machte Fotos und informierte die Hausverwaltung. Ein Bekannter erklärte sofort, Deniz lüfte falsch. Deniz wollte aber keine Ursache behaupten, die noch niemand geprüft hatte. Bei der Besichtigung wurde auch die Außenwand untersucht. Bis ein Ergebnis vorlag, dokumentierte er Veränderungen. Ihm war wichtig, das Problem sachlich zu klären, statt über Schuld zu ~streiten=argue~.|Deniz documents a suspicious wall stain rather than assuming its cause.|He asks for an inspection and records changes while waiting.
home|Der gemeinsame Balkon|conditional|Unsere beiden Wohnungen teilen einen langen ~Balkon=balcony~. Früher standen meine Pflanzen überall. Als die neue Nachbarin einen Stuhl hinausstellen wollte, war kaum Platz. Zuerst ärgerte ich mich: Die Pflanzen standen doch schon lange dort. Dann fragte sie, wie ich mich an ihrer Stelle fühlen würde. Wir markierten gemeinsam zwei Bereiche und ließen die Mitte frei. Nun trinken wir dort manchmal Kaffee, ohne zwischen Töpfen hindurchsteigen zu ~müssen=have to~.|Plants occupy almost all of a shared balcony.|The neighbours divide the space and clear the middle.
home|Nicht jede Reparatur lohnt sich sofort|because|Unsere Waschmaschine machte ungewöhnliche Geräusche. Mein Bruder wollte sofort eine neue ~bestellen=order~. Ich bat zunächst um einen Kostenvoranschlag für die Reparatur. Ein kleines Teil musste ersetzt werden; der Rest war noch in Ordnung. Die Reparatur kostete deutlich weniger als ein neues Gerät. Wir ließen sie durchführen. Das bedeutete nicht, dass Reparieren immer billiger ist. In unserem konkreten Fall hatten wir die Möglichkeiten aber wirklich ~verglichen=compared~.|Two siblings disagree about replacing a noisy washing machine.|A repair estimate reveals that replacing a small part is worthwhile.
home|Der Nachbar, den wir kaum kannten|relative|Herr Berger, den wir sonst nur im Treppenhaus grüßten, klingelte eines Abends bei uns. Sein ~Wasserhahn=tap~ ließ sich nicht schließen. Mein Vater konnte das Problem nicht selbst reparieren, kannte aber den zuständigen Notdienst. Während Herr Berger telefonierte, wischten wir gemeinsam Wasser auf. Am nächsten Tag brachte er Kuchen vorbei. Seitdem kennen wir nicht nur seinen Namen, sondern auch seine kleine Sammlung alter ~Landkarten=maps~.|A little-known neighbour needs help with a leaking tap.|Practical help leads to a closer acquaintance.
home|Die Heizung wird später repariert|passive|Die Reparatur der Heizung wurde zweimal ~verschoben=postponed~. Jedes Mal musste Amina ihren Dienst ändern. Als ein dritter Termin vorgeschlagen wurde, erklärte sie schriftlich, warum sie eine verlässliche Uhrzeit brauchte. Sie bat um Rückmeldung, bevor sie wieder frei nahm. Der Betrieb bestätigte ein engeres Zeitfenster und rief vorher an. Die Heizung funktionierte danach wieder. Für Amina war auch wichtig, dass ihre Zeit endlich ernst genommen ~wurde=was~.|Repeated repair delays disrupt Amina's work schedule.|She requests a confirmed time window before taking more time off.
home|Der Lärm kam nicht von oben|pastperfect|Seit Tagen hatte Luka abends ein Brummen gehört. Er war überzeugt, dass sein Nachbar eine laute ~Maschine=machine~ benutzte. Bevor er sich beschwerte, hörten beide gemeinsam in der Wohnung nach. Das Geräusch kam aus dem Keller. Dort stand ein defektes Gerät der Hausverwaltung. Luka war froh, dass er zuerst gefragt hatte. Eine wütende Nachricht hätte den falschen Menschen getroffen und das eigentliche Problem nicht ~gelöst=solved~.|Luka assumes that an upstairs neighbour causes a humming noise.|Checking together reveals a faulty device in the cellar.
