home|Der Schlüssel im Schuh|accusative|Mia steht vor der Haustür. Sie sucht ihren ~Schlüssel=key~. In der Tasche ist nur ein Apfel. „Schau in deinen Schuh“, sagt Sam. Mia lacht. Dort liegt der Schlüssel! Ihr kleiner Bruder spielt gern mit ihren Sachen. Mia öffnet die Tür und legt den Schlüssel auf das ~Regal=shelf~.|Mia cannot find her house key.|She finds it in her shoe and puts it on a shelf.
home|Ein Platz für die Lampe|location|Im Zimmer ist es dunkel. Sam hat eine neue ~Lampe=lamp~. Er stellt sie auf den Tisch. Dort steht aber schon der Computer. „Hier ist noch Platz“, sagt Mia. Neben dem Bett steht ein kleiner ~Schrank=cupboard~. Jetzt steht die Lampe auf dem Schrank. Sam liest im Bett ein Buch.|Sam needs a place for a new lamp.|The lamp goes on the cupboard beside the bed.
home,colours|Zwei blaue Tassen|plural|Nora packt eine Kiste aus. Darin sind zwei blaue ~Tassen=cups~, drei Teller und ein Glas. Ihre Schwester kommt zu Besuch. „Möchtest du Tee?“ Nora sucht die Tassen. Die Katze sitzt vor der Kiste. Zum Glück sind die Tassen noch ganz. Die Schwestern trinken Tee am ~Fenster=window~.|Nora unpacks dishes before her sister visits.|Both sisters drink tea by the window.
home|Die offene Balkontür|negation|Es ist kalt in der Wohnung. Ben trägt einen Pullover und dicke ~Socken=socks~. Die Heizung ist warm. Warum ist das Zimmer kalt? Ben geht in die Küche. Die ~Balkontür=balcony door~ ist offen! Er macht sie zu. Nach einer Weile braucht er die dicke Jacke nicht mehr.|Ben's flat is cold although the heating is warm.|He closes the open balcony door.
home|Heute putzen wir|separable|Am Samstag räumen Lea und Omar die Wohnung auf. Lea ~putzt=cleans~ das Bad. Omar macht die Küche sauber. Unter dem Tisch findet er einen Brief. „Ist das dein Brief?“ Lea nickt. Es ist eine Einladung zum Essen. „Dann brauchen wir heute nicht zu ~kochen=cook~!“ Beide freuen sich.|Lea and Omar clean their flat.|They find an invitation and do not need to cook dinner.
home|Ein Zimmer für Oma|possessive|Oma bleibt zwei Nächte bei Luis. Sein Zimmer ist klein, aber sein Bett ist ~bequem=comfortable~. Luis schläft auf dem Sofa. Er legt ein Handtuch auf das Bett. Oma bringt Blumen mit. „Das ist jetzt dein Zimmer“, sagt Luis. Oma stellt die Blumen in eine ~Vase=vase~ und lächelt.|Luis prepares his room for his grandmother.|He sleeps on the sofa while she uses his bed.
family|Das alte Foto|possessive|Aylin zeigt ihrem Bruder ein altes ~Foto=photo~. Darauf ist ein kleines Mädchen mit einem Hund. „Bist du das?“, fragt er. „Nein, das ist Mama!“ Ihre Mutter kommt ins Zimmer. Der Hund heißt auf dem Foto Max. Heute hat die Familie eine Katze. Sie ~heißt=is called~ Maxi.|Aylin's brother mistakes the girl in a photo for Aylin.|The girl is their mother with her old dog.
family|Frühstück für Papa|accusative|Papa hat heute Geburtstag. Die Kinder machen das ~Frühstück=breakfast~. Mila schneidet Brot. Timo bringt Käse und eine Tomate. Der Kaffee ist noch nicht fertig. Papa kommt schon in die Küche. „Guten Morgen!“ Er sieht das Essen und freut sich. Sie essen zusammen. Den ~Kaffee=coffee~ trinken die Eltern später.|The children prepare a birthday breakfast for their father.|They start eating before the coffee is ready.
family|Der Anruf aus Wien|questions|„Hallo, Opa! Wie geht es dir?“ Nina telefoniert mit ihrem Großvater. Er wohnt in Wien. Heute ~regnet=is raining~ es dort. Bei Nina scheint die Sonne. Opa zeigt ihr am Telefon seinen neuen Hut. Nina findet ihn lustig. Am Sonntag möchte sie wieder ~anrufen=call~. Opa hat dann viel Zeit.|Nina phones her grandfather in Vienna.|They arrange another call for Sunday.
family|Wer holt Emil ab?|separable|Emil ist noch im Kindergarten. Mama arbeitet bis fünf Uhr. Papa ist beim ~Zahnarzt=dentist~. „Ich hole Emil ab“, sagt seine Tante. Sie fährt mit dem Bus. Emil wartet schon an der Tür. Er zeigt ihr sein Bild. Darauf sind fünf rote ~Äpfel=apples~. Die Tante hängt es später an den Kühlschrank.|Emil's parents cannot collect him from kindergarten.|His aunt collects him and takes his picture home.
family|Besuch am Sonntag|time|Am Sonntag kommen sechs Menschen zu uns. Unser Tisch hat nur vier ~Stühle=chairs~. Mein Bruder fragt die Nachbarin. Sie hat zwei Stühle für uns. Alle sitzen am Tisch und essen Suppe. Nach dem Essen bringen wir die Stühle zurück. Die Nachbarin bekommt auch eine Schüssel ~Suppe=soup~.|The family needs two more chairs for visitors.|The neighbour lends chairs and receives some soup.
school|Das gelbe Heft|colours|Im Kurs liegen viele Hefte auf dem Tisch. „Welches ist dein ~Heft=exercise book~?“, fragt die Lehrerin. „Das gelbe“, sagt Amir. Auf dem gelben Heft steht aber Anna. Amir schaut in seine Tasche. Sein Heft ist grün! „Heute lerne ich nicht nur Deutsch. Ich lerne auch meine ~Farben=colours~“, sagt er.|Amir first chooses a yellow exercise book.|He discovers that his own exercise book is green.
school|Die Pause im Hof|present|Die Kinder haben ~Pause=break~. Im Hof spielen einige mit einem Ball. Eva sitzt auf einer Bank und isst einen Apfel. Ein neuer Schüler steht allein an der Tür. Eva winkt. „Möchtest du hier sitzen?“ Er heißt Leo und mag auch Äpfel. Nach der Pause gehen beide ins ~Klassenzimmer=classroom~.|Eva notices a new pupil standing alone.|Leo joins her on the bench before class.
school|Ein Wort an der Tafel|questions|An der ~Tafel=board~ steht „Entschuldigung“. Jun liest langsam. Das Wort ist lang. „Was bedeutet das?“, fragt er. Die Lehrerin macht ein Beispiel: Sie kommt zu spät und sagt „Entschuldigung“. Jun versteht. Er schreibt das Wort in sein Heft. Daneben malt er eine kleine ~Uhr=clock~.|Jun asks about a long word on the board.|A late-arrival example helps him understand it.
school|Sport ohne Schuhe?|negation|Lina hat heute Sport. In ihrer Tasche sind ein T-Shirt und eine Hose. Aber ihre ~Sportschuhe=sports shoes~ fehlen. „Ich kann nicht mitmachen“, sagt sie. Die Lehrerin zeigt einen Schrank. Dort stehen Schuhe für die Halle. Ein Paar passt. Lina spielt mit und gibt die Schuhe nach der ~Stunde=lesson~ zurück.|Lina has forgotten her sports shoes.|She borrows a pair and returns them after the lesson.
school|Zusammen lesen|modal|Omar kann gut lesen, aber Anna kennt mehr Wörter. Heute ~üben=practise~ sie zusammen. Omar liest einen kurzen Text laut. Anna erklärt zwei Wörter. Dann tauschen sie die Aufgaben. Anna liest und Omar hört zu. Beim letzten Satz müssen beide lachen. Im Text bestellt ein Hund ein ~Brötchen=bread roll~.|Omar and Anna practise reading together.|They swap roles and laugh at the story's ending.
school|Der Ausflug beginnt früher|time|Der Bus zum Museum fährt um acht Uhr. Auf Pauls Zettel steht neun Uhr. Zum Glück ~fragt=asks~ er seine Freundin am Abend. „Wir treffen uns um Viertel vor acht!“ Paul stellt seinen Wecker neu. Am Morgen ist er pünktlich. Im Bus sitzt er neben seiner ~Freundin=friend~.|Paul has written down the wrong time for a school trip.|He checks with a friend and catches the bus.
health|Ein Termin am Dienstag|questions|Mia ruft in der ~Praxis=medical practice~ an. Sie braucht einen Termin. „Geht es am Montag?“ Am Montag arbeitet sie. Die Frau am Telefon sagt: „Am Dienstag um zehn Uhr?“ Das passt. Mia schreibt den Termin in ihren Kalender. Sie notiert auch die ~Adresse=address~. Die Praxis ist neben der Apotheke.|Mia cannot attend a Monday appointment.|She books Tuesday at ten and writes down the address.
health|Wo ist Zimmer zwölf?|location|Sam besucht seine Schwester im ~Krankenhaus=hospital~. An der Tür fragt er nach Zimmer zwölf. „Im ersten Stock, links“, sagt ein Mitarbeiter. Sam nimmt die Treppe. Seine Schwester sitzt am Fenster. Sie freut sich über das Buch. Die ~Blumen=flowers~ stellt Sam auf den kleinen Tisch neben ihrem Bett.|Sam looks for his sister's hospital room.|He finds her upstairs and gives her a book.
health|Heute bleibe ich zu Hause|modal|Tara hat ~Husten=cough~ und fühlt sich müde. Heute möchte sie nicht in den Kurs gehen. Sie schreibt der Lehrerin eine Nachricht. „Ich bin krank und komme heute nicht.“ Die Lehrerin antwortet: „Gute Besserung!“ Tara legt das Telefon weg. Ihre Freundin fragt später, ob sie etwas vom ~Supermarkt=supermarket~ braucht.|Tara tells her teacher that she is ill.|Her friend later offers to bring shopping.
health|Die Brille auf dem Kopf|accusative|Opa möchte die Zeitung lesen. Er sucht seine ~Brille=glasses~. Sie liegt nicht auf dem Tisch. Sie liegt auch nicht neben dem Bett. Seine Enkelin sieht ihn an und lacht. „Opa, deine Brille ist auf deinem Kopf!“ Opa nimmt sie herunter. Jetzt kann er die kleine ~Schrift=print; lettering~ gut lesen.|Grandfather searches for his glasses.|His granddaughter finds them on his head.
health|Bitte langsam sprechen|imperative|In der Apotheke versteht Ali eine Frage nicht. „Bitte sprechen Sie ~langsam=slowly~“, sagt er. Die Mitarbeiterin wiederholt die Frage. Jetzt versteht er sie. Ali zeigt den Zettel von seiner Ärztin. Die Mitarbeiterin liest ihn und holt eine Packung. Ali fragt noch einmal nach. Er möchte alles ~richtig=correctly~ verstehen.|Ali has difficulty understanding a question at the pharmacy.|He asks for slower speech and clarification.
health|Die Karte fehlt|possessive|Emma sitzt im Wartezimmer. Sie sucht ihre ~Karte=card~ in der Tasche. Dort sind viele Zettel, aber keine Karte. An der Anmeldung erklärt sie das Problem. Die Mitarbeiterin fragt nach ihrem Namen und ihrem Geburtstag. Emma nennt beides. Dann fragt sie, wann sie die Karte ~bringen=bring~ kann.|Emma cannot find her card at the medical practice.|She gives her details and asks when to bring the card.
travel|Der Zug auf Gleis drei|numbers|Luis wartet auf Gleis zwei. Sein Zug fährt nach Köln. Auf der ~Anzeige=display~ steht plötzlich Gleis drei. Luis nimmt seinen Rucksack und geht durch den Tunnel. Auf Gleis drei steht schon der Zug. Er steigt ein und findet einen ~Sitzplatz=seat~. Neben ihm fährt eine Frau auch nach Köln.|Luis's train changes platforms.|He goes to platform three and boards the train.
travel|Ein Fensterplatz, bitte|accusative|Im Bus sitzt Ben neben der Tür. Er möchte lieber am ~Fenster=window~ sitzen. Hinten ist ein Platz frei. Er fragt die Frau daneben: „Ist hier frei?“ Sie nickt. Ben setzt sich. Draußen sieht er Felder und Kühe. An seiner ~Haltestelle=stop~ steigt er aus und sagt freundlich Tschüs.|Ben would prefer a window seat on the bus.|He moves to a free seat and watches the countryside.
travel,colours|Unser roter Koffer|colours|Am Bahnhof stehen zwei rote ~Koffer=suitcases~. Lenas Vater nimmt einen. „Warte!“, sagt Lena. „Unser Koffer hat einen gelben Zettel.“ Der andere Koffer gehört einem Mann. Er steht direkt daneben. Beide lachen und tauschen die Koffer. Lena trägt den richtigen Koffer zum ~Ausgang=exit~.|Lena's father picks up a similar red suitcase.|A yellow label helps Lena identify their own suitcase.
travel|Ein Zimmer mit Frühstück|questions|Im Hotel fragt Farid nach einem Zimmer. „Für eine ~Nacht=night~ oder zwei?“ Er bleibt zwei Nächte. „Ist Frühstück dabei?“ Die Frau sagt ja. Es gibt Frühstück ab sieben Uhr. Farid bekommt den Schlüssel für Zimmer acht. Er stellt seine Tasche ins Zimmer und geht noch kurz ~spazieren=for a walk~.|Farid asks for a hotel room for two nights.|He gets a room with breakfast included.
travel|Links an der Bäckerei|imperative|Sara sucht die Bibliothek. Ein Mann erklärt den Weg: „Gehen Sie geradeaus und an der ~Bäckerei=bakery~ links.“ Sara geht bis zur Bäckerei. Dort riecht es nach frischem Brot. Sie kauft ein Brötchen. Dann biegt sie links ab. Die Bibliothek ist direkt neben der ~Post=post office~. Sara ist noch pünktlich.|Sara asks for directions to the library.|She turns left at the bakery and finds it beside the post office.
travel|Das Ticket auf dem Handy|possessive|Jasmin hat ihr ~Ticket=ticket~ auf dem Handy. Im Zug öffnet sie die Nachricht. Der Bildschirm ist sehr dunkel. Der Mitarbeiter kann nichts lesen. Jasmin macht den Bildschirm heller. Jetzt sieht er das Ticket. „Danke und gute ~Fahrt=journey~!“ Jasmin legt das Handy weg und schaut aus dem Fenster.|Jasmin's digital ticket is hard to read.|She makes the phone screen brighter.
work|Mein erster Schreibtisch|location|Heute beginnt Eva im Büro. Ihr ~Schreibtisch=desk~ steht am Fenster. Darauf liegen ein Stift und ein Block. Der Computer ist noch aus. Ihr Kollege zeigt ihr die Küche. Dort trinken alle morgens Kaffee. Eva nimmt Tee. Danach geht sie zurück und schreibt ihren Namen auf den ~Block=notepad~.|Eva starts work at a desk by the window.|She meets her colleague and chooses tea in the kitchen.
work|Mittagspause mit Ali|time|Um zwölf Uhr hat Ali ~Mittagspause=lunch break~. Er hat Reis und Gemüse dabei. Seine Kollegin hat Brot. Beide sitzen draußen auf einer Bank. Ali fragt nach ihrem Wochenende. Sie zeigt ein Foto vom See. Um halb eins gehen beide zurück ins Büro. Am Nachmittag haben sie eine ~Besprechung=meeting~.|Ali and his colleague eat lunch outside.|They return at half past twelve before an afternoon meeting.
